"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2025","1","1","14877","14487","14091","13804","13735","13929","14284","14606","14996","15285","15668","16111","16546","16813","17147","17557","18149","18846","18758","18478","18114","17512","16719","15956",""
"2025","1","2","15421","15054","14848","14795","14999","15778","17031","18022","18404","18366","18427","18492","18453","18672","19032","19572","20324","21141","21031","20761","20228","19447","18319","17350",""
"2025","1","3","16676","16195","15914","15807","15998","16675","17859","18884","19246","19151","18948","18660","18429","18576","18902","19462","20327","21037","20847","20533","20083","19452","18575","17725",""
"2025","1","4","17126","16719","16422","16275","16336","16604","17156","17870","18371","18470","18501","18466","18461","18622","18921","19578","20392","21116","21031","20812","20324","19754","18964","18199",""
"2025","1","5","17546","17034","16663","16461","16430","16640","17071","17671","18012","18204","18330","18511","18628","18788","19045","19590","20425","21219","21135","20831","20346","19550","18574","17602",""
"2025","1","6","16961","16573","16275","16226","16485","17292","18763","20033","20573","20877","21076","21161","21197","21250","21195","21384","21974","22685","22562","22217","21744","20973","19861","18820",""
"2025","1","7","18237","17897","17657","17578","17802","18567","20070","21156","21442","21317","20902","20503","20345","20395","20708","21322","22208","23113","23069","22714","22128","21255","20089","19025",""
"2025","1","8","18287","17867","17630","17536","17713","18571","20092","21181","21335","21106","20678","20304","20120","20274","20687","21477","22445","23441","23445","23133","22527","21641","20547","19501",""
"2025","1","9","18785","18325","17976","17871","18094","18872","20369","21446","21624","21233","20863","20570","20277","20154","20330","21069","22116","22967","22906","22588","21978","21072","19954","18934",""
"2025","1","10","18208","17740","17423","17246","17317","18092","19506","20598","20488","19870","19011","18541","18310","18382","18682","19577","20494","21261","21036","20576","20032","19355","18467","17543",""
"2025","1","11","16868","16380","16161","16041","16096","16464","17051","17753","18431","18883","19009","18936","18869","18712","18737","19050","19748","20491","20495","20226","19907","19341","18518","17715",""
"2025","1","12","17057","16515","16103","15887","15854","16082","16586","17218","17540","17502","17239","16914","16887","16992","17458","18057","19051","19996","20054","19755","19327","18617","17601","16704",""
"2025","1","13","16109","15671","15415","15354","15706","16669","18171","19383","19690","19888","19925","19742","19649","19704","19638","19790","20478","21402","21345","20975","20398","19535","18434","17463",""
"2025","1","14","16795","16398","16054","16187","16478","17388","18937","20056","20166","19654","19216","19003","18891","19093","19477","20209","21269","22168","22120","21762","21205","20386","19318","18388",""
"2025","1","15","17808","17442","17183","17098","17318","18128","19619","20774","20772","20376","19983","19764","19694","19780","19964","20562","21505","22384","22299","21943","21404","20569","19443","18370",""
"2025","1","16","17711","17264","16988","16868","17106","17955","19335","20438","20569","20254","19951","20041","20243","20145","20428","20901","21463","22132","22008","21618","20988","20209","19175","18145",""
"2025","1","17","17389","16923","16650","16532","16714","17497","18945","19999","20294","20186","19729","19227","18991","18927","19030","19449","20042","20778","20611","20247","19723","19061","18241","17335",""
"2025","1","18","16724","16218","15846","15706","15711","15995","16584","17178","17582","17994","18297","18464","18544","18555","18573","18704","18983","19416","19288","18941","18527","17954","17276","16630",""
"2025","1","19","15950","15528","15236","15098","15157","15408","15960","16516","17003","17256","17663","17845","18090","18548","18986","19337","19879","20435","20417","20102","19733","19208","18527","17738",""
"2025","1","20","17207","16801","16574","16568","16820","17487","18535","19495","20089","20397","20619","20630","20521","20580","20652","20984","21672","22691","22787","22512","22004","21212","20242","19235",""
"2025","1","21","18673","18303","18099","18070","18313","19187","20737","21913","22326","22287","22110","21929","21730","21724","21787","22126","22673","23503","23470","23136","22670","21860","20873","19959",""
"2025","1","22","19367","18972","18764","18699","18980","19797","21281","22481","22851","22579","22241","21923","21602","21493","21656","22076","22573","23514","23521","23171","22640","21826","20735","19727",""
"2025","1","23","19087","18733","18403","18293","18466","19190","20540","21689","21997","21716","21329","20866","20411","20205","20208","20849","21740","22655","22771","22415","21872","21100","20056","19093",""
"2025","1","24","18433","18002","17753","17648","17889","18599","19935","21076","21287","20942","20539","20299","20103","19946","19888","20252","21093","21926","21951","21635","21213","20597","19744","18873",""
"2025","1","25","18239","17811","17501","17323","17381","17732","18411","19125","19447","19200","18914","18852","18937","18970","19116","19483","20248","21050","21080","20749","20320","19707","18910","18184",""
